4.86E+01,1.08E-02,5.01E+01,3.26E-02
4.70E+01,3.37E-01,4.75E+01,1.27E+00
4.99E+01,1.68E-01,5.11E+01,5.08E-01
4.97E+01,1.12E-01,5.27E+01,3.39E-01
4.98E+01,8.41E-02,4.91E+01,2.55E-01
4.81E+01,6.72E-02,4.99E+01,2.04E-01
4.96E+01,5.61E-02,5.04E+01,1.70E-01
5.11E+01,4.80E-02,5.15E+01,1.46E-01
4.93E+01,4.21E-02,5.10E+01,1.26E-01
4.76E+01,3.73E-02,4.93E+01,1.13E-01
4.69E+01,3.38E-02,4.93E+01,1.01E-01
5.10E+01,3.04E-02,5.13E+01,9.27E-02
4.81E+01,2.80E-02,5.05E+01,8.27E-02
5.05E+01,2.57E-02,5.29E+01,7.80E-02
4.66E+01,2.41E-02,4.66E+01,7.26E-02
4.81E+01,2.24E-02,4.99E+01,6.81E-02
5.07E+01,2.09E-02,5.20E+01,6.30E-02
4.76E+01,1.97E-02,5.05E+01,5.88E-02
4.90E+01,1.87E-02,4.99E+01,5.64E-02
5.27E+01,1.76E-02,5.34E+01,5.37E-02
4.96E+01,1.68E-02,5.21E+01,5.07E-02
4.94E+01,1.60E-02,5.05E+01,4.82E-02
4.81E+01,1.53E-02,4.91E+01,4.60E-02
5.00E+01,1.46E-02,5.27E+01,4.44E-02
4.91E+01,1.40E-02,5.16E+01,4.23E-02
4.91E+01,1.35E-02,5.09E+01,4.00E-02
5.05E+01,1.29E-02,5.28E+01,3.89E-02
4.78E+01,1.24E-02,4.69E+01,3.74E-02
4.77E+01,1.20E-02,4.91E+01,3.59E-02
4.83E+01,1.16E-02,4.84E+01,3.51E-02
4.96E+01,1.11E-02,4.93E+01,3.38E-02
4.89E+01,1.09E-02,5.07E+01,3.28E-02
